# Name ra dec dist vlos vloserr sigma rmax pmra pmdec pmra_e pmdec_e pmcorr nstar rscale pmdisp pmscale pmscale_e
# units        	deg	deg	kpc	km/s	km/s	km/s	arcmin	mas/yr	mas/yr	mas/yr	mas/yr	dimless	dimless	arcmin	mas/yr
NGC_6325 259.496 -23.766 7.8 29.5 0.6 6.4 3.0 -8.426 -9.011 0.068 0.067 0.008 147.1 1.74 0.179 0.22 0.025
NGC_6333_M_9 259.796 -18.515 7.9 310.8 2.1 8.1 8.0 -2.228 -3.214 0.059 0.058 0.009 526.9 4.65 0.161 0.176 0.005
NGC_6342 260.292 -19.587 8.5 116.6 0.7 5.6 5.0 -2.932 -7.101 0.064 0.064 0.004 195.0 2.22 0.125 0.118 0.006
NGC_6356 260.895 -17.813 15.1 38.9 1.9 7.6 8.0 -3.814 -3.381 0.06 0.059 0.01 547.0 4.65 0.113 0.18 0.013
NGC_6355 260.994 -26.353 9.2 -194.1 0.8 6.6 4.0 -4.657 -0.522 0.066 0.065 0.014 93.2 1.63 0.139 0.187 0.03
NGC_6352 261.371 -48.422 5.6 -125.6 1.0 3.5 10.0 -2.172 -4.398 0.056 0.056 0.003 2064.3 5.36 0.138 0.224 0.017
IC_1257 261.785 -7.093 25.0 -138.0 2.0 1.9 2.0 -0.928 -1.407 0.087 0.081 0.037 16.2 0.81 0.0 nan nan
Terzan_2_HP_3 261.887 -30.802 7.5 129.0 1.2 3.9 2.0 -2.237 -6.21 0.081 0.075 0.086 25.3 0.81 0.0 0.206 0.02
NGC_6366 261.934 -5.0798 3.5 -120.7 0.2 2.9 12.0 -0.363 -5.115 0.053 0.053 0.015 2226.3 6.17 0.173 0.303 0.046
Terzan_4_HP_4 262.662 -31.595 7.2 -39.9 3.8 4.4 3.0 -5.386 -3.361 0.088 0.08 0.02 26.2 0.61 0.096 0.155 0.155
HP_1_BH_229 262.771 -29.981 8.2 40.6 1.3 5.3 3.0 2.462 -10.142 0.073 0.071 -0.001 35.3 1.35 0.151 0.218 0.073
NGC_6362 262.979 -67.048 7.6 -14.6 0.2 3.7 12.0 -5.51 -4.75 0.051 0.052 -0.0 2877.0 6.49 0.109 0.188 0.019
NGC_6380_Ton1 263.616 -39.069 10.9 -6.5 1.5 8.3 4.0 -2.142 -3.107 0.067 0.066 -0.006 181.4 2.1 0.166 0.273 0.022
Terzan_1_HP_2 263.949 -30.481 6.7 57.5 1.6 7.8 3.0 -2.967 -4.811 0.083 0.08 0.026 65.6 1.15 0.282 0.394 0.099
Ton2_Pismis26 264.043 -38.553 8.2 -184.7 1.1 2.8 3.0 -5.912 -0.548 0.067 0.066 0.013 116.0 1.85 0.077 0.277 0.025
NGC_6388 264.071 -44.735 9.9 82.8 0.5 17.8 10.0 -1.331 -2.672 0.057 0.057 0.004 791.0 5.6 0.196 0.215 0.021
NGC_6402_M_14 264.4 -3.2459 9.3 -60.7 0.5 10.9 8.0 -3.64 -5.035 0.058 0.058 0.008 718.0 4.81 0.205 0.209 0.005
NGC_6401 264.652 -23.909 10.6 -99.3 3.2 8.6 3.0 -2.849 1.476 0.07 0.069 -0.001 60.2 1.96 0.198 0.223 0.037
NGC_6397 265.175 -53.674 2.3 18.4 0.1 5.4 25.0 3.285 -17.621 0.043 0.043 0.001 11406.1 11.14 0.378 0.381 0.012
Pal_6 265.925 -26.222 5.8 176.3 1.5 6.4 3.0 -9.256 -5.33 0.078 0.076 0.038 47.5 1.27 0.247 0.352 0.117
NGC_6426 266.227 3.17014 20.6 -210.5 0.5 2.2 4.0 -1.862 -2.994 0.064 0.064 0.019 144.1 2.15 0.012 0.131 0.024
Djorg_1 266.867 -33.065 13.7 -359.8 2.0 3.3 2.0 -5.16 -8.324 0.08 0.075 -0.006 28.8 0.9 0.027 0.067 0.005
Terzan_5_11 267.02 -24.779 6.9 -81.4 1.4 14.3 4.0 -1.56 -4.724 0.106 0.102 0.072 59.0 2.03 0.399 0.473 0.085
NGC_6440 267.219 -20.36 8.5 -69.4 0.9 14.5 5.0 -1.07 -3.828 0.069 0.068 0.025 154.5 2.85 0.25 0.255 0.03
NGC_6441 267.554 -37.051 11.6 17.3 0.9 18.9 10.0 -2.568 -5.322 0.059 0.059 0.001 247.1 6.15 0.196 0.164 0.021
Terzan_6_HP_5 267.693 -31.275 6.8 137.2 1.7 7.9 2.0 -5.634 -7.042 0.186 0.156 0.155 24.3 1.13 0.0 0.271 0.276
NGC_6453 267.715 -34.599 11.6 -91.2 3.1 6.9 3.0 0.165 -5.895 0.071 0.07 0.006 30.6 1.76 0.141 0.045 0.003
NGC_6496 269.765 -44.265 11.3 -134.7 0.3 2.3 5.0 -3.037 -9.239 0.061 0.061 0.004 350.7 2.79 0.05 0.122 0.013
Terzan_9 270.411 -26.839 7.1 29.3 3.0 1.2 3.0 -2.197 -7.451 0.073 0.07 0.041 50.5 0.86 0.0 0.337 0.113
Djorg_2_ESO456- 270.454 -27.825 6.3 -148.1 1.4 4.4 2.0 0.515 -3.052 0.079 0.074 -0.036 9.6 0.88 0.0 0.159 0.149
NGC_6517 270.46 -8.9587 10.6 -37.1 1.7 12.6 4.0 -1.498 -4.221 0.066 0.066 0.016 237.2 2.49 0.18 0.301 0.002
Terzan_10 270.741 -26.066 5.8 -64.1 3.1 3.4 3.0 -6.912 -2.409 0.085 0.08 0.074 27.4 1.55 0.0 0.31 0.081
NGC_6522 270.891 -30.033 7.7 -13.9 0.7 7.9 4.0 2.618 -6.431 0.072 0.071 0.003 38.9 1.93 0.189 0.167 0.036
NGC_6535 270.96 -0.2976 6.8 -214.8 0.5 1.7 4.0 -4.249 -2.9 0.064 0.064 0.007 318.7 2.23 0.055 0.231 0.013
NGC_6528 271.206 -30.056 7.9 210.3 0.8 6.3 3.0 -2.327 -5.527 0.074 0.071 0.018 17.4 0.91 0.0 6.615 6.586
NGC_6539 271.207 -7.5858 7.8 35.7 0.6 6.0 6.0 -6.865 -3.477 0.061 0.061 0.009 563.1 3.21 0.192 0.271 0.001
NGC_6540_Djorg 271.535 -27.765 5.3 -18.0 0.8 3.5 2.0 -3.76 -2.799 0.077 0.076 0.029 15.7 0.76 0.123 0.081 0.071
NGC_6544 271.835 -24.997 3.0 -38.1 0.8 6.6 10.0 -2.349 -18.557 0.06 0.06 0.001 551.0 5.16 0.482 0.419 0.005
NGC_6541 272.009 -43.714 7.5 -164.0 0.5 8.7 12.0 0.349 -8.843 0.056 0.055 -0.007 1375.4 6.33 0.162 0.224 0.042
ESO-SC06_ESO280 272.275 -46.423 21.4 93.2 0.3 1.3 2.0 -0.552 -2.724 0.082 0.075 0.085 33.9 1.1 0.0 0.071 0.001
NGC_6553 272.323 -25.908 6.0 0.7 0.4 8.3 6.0 0.246 -0.409 0.063 0.063 0.003 325.1 3.52 0.325 0.248 0.01
NGC_6558 272.573 -31.763 7.4 -195.7 0.7 3.5 3.0 -1.81 -4.133 0.067 0.066 0.003 42.3 1.05 0.082 0.1 0.02
IC_1276_Pal_7 272.684 -7.2076 5.4 155.1 0.7 3.6 8.0 -2.577 -4.374 0.059 0.059 0.009 938.0 4.17 0.183 0.27 0.027
Terzan_12 273.065 -22.741 4.8 94.8 1.0 1.1 3.0 -6.151 -2.679 0.069 0.068 0.049 104.3 1.47 0.04 0.371 0.077
NGC_6569 273.411 -31.826 10.9 -49.8 0.5 7.1 5.0 -4.109 -7.267 0.062 0.062 0.005 169.0 2.66 0.133 0.157 0.006
