# Name         	     pericenter[kpc]   	     apocenter[kpc]    	       Jr[kpc*km/s]    	       Jz[kpc*km/s]    	      Jphi[kpc*km/s]   	    Energy[km^2/s^2]   
NGC_6341_M_92  	   0.21	   0.35	   0.44	  10.38	  10.64	  10.91	    659	    675	    694	    303	    351	    419	     -1	     56	     88	-166509	-164941	-163422
NGC_6325       	   0.19	   0.60	   0.93	   1.92	   2.17	   2.53	     10	     31	     80	    130	    157	    190	   -147	    -92	    -20	-235337	-232892	-227829
NGC_6333_M_9   	   0.85	   0.93	   1.04	   7.80	   7.98	   8.22	    381	    398	    416	    202	    220	    230	    274	    308	    345	-180088	-178894	-177696
NGC_6342       	   0.81	   1.09	   1.23	   1.96	   2.03	   2.17	      5	      7	     16	    167	    182	    188	    101	    124	    152	-233822	-231025	-227372
NGC_6356       	   2.41	   3.12	   3.87	   7.56	   8.22	   9.00	    144	    165	    187	    243	    268	    290	    649	    791	    968	-177307	-171763	-165876
NGC_6355       	   0.29	   0.47	   0.62	   2.72	   3.14	   3.63	     86	     93	    107	    157	    176	    197	   -140	   -103	    -61	-226333	-219928	-213101
NGC_6352       	   3.06	   3.16	   3.24	   3.90	   4.20	   4.52	      7	     12	     17	     25	     28	     31	    711	    754	    799	-202101	-199316	-196685
IC_1257        	   1.28	   1.72	   2.20	  17.30	  18.08	  19.26	    998	   1134	   1303	    126	    134	    147	   -861	   -697	   -550	-141903	-140082	-137007
Terzan_2_HP_3  	   0.16	   0.22	   0.39	   0.84	   1.22	   1.68	      9	     36	     81	     10	     13	     18	    -64	    -52	    -31	-270776	-265198	-256087
NGC_6366       	   2.02	   2.10	   2.28	   5.66	   6.02	   6.23	    126	    131	    137	     74	     80	     88	    603	    635	    692	-192415	-191207	-188896
Terzan_4_HP_4  	   0.29	   0.37	   0.47	   0.82	   1.17	   1.53	     12	     20	     32	     23	     25	     26	     47	     77	    110	-271565	-261846	-253669
HP_1_BH_229    	   0.38	   0.42	   0.53	   1.57	   1.70	   2.06	      7	     11	     20	    173	    197	    267	    -23	    -15	     -1	-243956	-240618	-232297
NGC_6362       	   2.57	   2.73	   2.90	   5.24	   5.33	   5.45	     46	     51	     57	    234	    259	    284	    554	    569	    584	-190190	-188915	-187145
NGC_6380_Ton1  	   0.37	   0.42	   0.44	   2.95	   3.34	   3.71	    159	    193	    227	     23	     24	     24	    -98	    -84	    -70	-232143	-226529	-221565
Terzan_1_HP_2  	   0.17	   0.28	   0.43	   1.28	   1.63	   2.04	     50	     63	     73	      1	      2	      2	     45	     76	    127	-265461	-256739	-247855
Ton2_Pismis26  	   0.71	   1.00	   1.29	   3.43	   3.66	   4.20	     65	    100	    148	    116	    122	    138	    207	    259	    302	-214396	-212703	-209260
NGC_6388       	   0.79	   0.89	   1.00	   3.02	   3.49	   3.67	     74	     78	     85	     70	     72	     73	   -282	   -254	   -223	-224658	-222016	-218904
NGC_6402_M_14  	   0.43	   0.58	   0.80	   4.00	   4.12	   4.37	    139	    144	    150	    161	    173	    186	    125	    159	    212	-212449	-209656	-205861
NGC_6401       	   1.99	   2.41	   2.95	   4.33	   5.01	   5.93	     52	     60	     69	    125	    147	    177	   -719	   -594	   -492	-201401	-193914	-185100
NGC_6397       	   2.63	   2.77	   2.97	   6.38	   6.50	   6.64	     98	    108	    116	    136	    154	    173	    693	    743	    795	-183776	-182589	-181492
Pal_6          	   0.26	   0.31	   0.39	   4.26	   4.57	   4.81	    227	    248	    265	    106	    112	    118	     10	     31	     67	-215941	-212283	-209622
NGC_6426       	   2.95	   3.89	   4.89	  16.09	  17.38	  18.67	    634	    680	    747	    192	    210	    235	   1045	   1341	   1640	-144005	-139060	-134915
Djorg_1        	   3.54	   4.11	   4.97	  71.48	 108.30	 229.99	   4965	   7524	  15227	     19	     20	     21	   1915	   2272	   2818	 -78055	 -62374	 -39459
Terzan_5_11    	   0.19	   0.31	   0.42	   1.25	   1.55	   1.87	     45	     53	     59	      7	      9	     10	     46	     81	    116	-264169	-257018	-250760
NGC_6440       	   0.13	   0.27	   0.39	   1.35	   1.38	   1.49	     35	     40	     53	     38	     40	     41	    -85	    -56	    -26	-257435	-256157	-253177
NGC_6441       	   0.73	   1.08	   1.36	   3.10	   3.68	   4.21	    118	    126	    135	     47	     48	     49	    156	    268	    365	-226758	-217796	-210721
Terzan_6_HP_5  	   0.27	   0.32	   0.36	   1.64	   2.00	   2.35	     51	     84	    115	      7	      8	     10	    -94	    -83	    -72	-255803	-249024	-242551
NGC_6453       	   0.63	   0.98	   1.47	   3.58	   4.25	   4.96	    105	    115	    127	    231	    284	    355	    100	    164	    228	-212367	-204045	-195585
NGC_6496       	   3.50	   3.99	   4.45	   9.33	  12.08	  14.54	    201	    309	    434	    196	    213	    228	    989	   1197	   1378	-165988	-154229	-146050
Terzan_9       	   0.06	   0.09	   0.12	   1.00	   1.28	   1.55	     39	     57	     74	     14	     16	     18	     12	     19	     30	-269508	-263305	-257612
Djorg_2_ESO456-	   0.74	   0.88	   1.09	   2.81	   3.14	   3.53	     87	     92	    100	      9	     10	     11	    221	    265	    337	-232505	-227273	-221002
